section,group,order,role,wix_id,original_url,local_path
exhibitions,wsal-2025,11,artwork,fdc35e_c2526cbf0c1c499788af16f601de7f3a,https://static.wixstatic.com/media/fdc35e_c2526cbf0c1c499788af16f601de7f3a~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-11.jpg
exhibitions,wsal-2025,12,artwork,fdc35e_7fdea8cdfe6940949f0d521b200b85d7,https://static.wixstatic.com/media/fdc35e_7fdea8cdfe6940949f0d521b200b85d7~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-12.jpg
exhibitions,wsal-2025,13,artwork,fdc35e_3b87f806171e4dca95cec21b6050c89d,https://static.wixstatic.com/media/fdc35e_3b87f806171e4dca95cec21b6050c89d~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-13.jpg
exhibitions,wsal-2025,14,artwork,fdc35e_52f4ddb6deed4f1f8653cf01eee80297,https://static.wixstatic.com/media/fdc35e_52f4ddb6deed4f1f8653cf01eee80297~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-14.jpg
exhibitions,wsal-2025,15,artwork,fdc35e_89e76fdba30f4b07ab7aec7fa1a4f8a5,https://static.wixstatic.com/media/fdc35e_89e76fdba30f4b07ab7aec7fa1a4f8a5~mv2.jpg,media/exhibitions/wsal-2025/wsal-2025-15.jpg
exhibitions,zat-2023,1,artwork,fdc35e_2b6a1c0963d5428d95454cf8e2236b95,https://static.wixstatic.com/media/fdc35e_2b6a1c0963d5428d95454cf8e2236b95~mv2.jpg,media/exhibitions/zat-2023/zat-2023-01.jpg
exhibitions,zat-2023,2,artwork,fdc35e_b0ec0ac8c1e64f78ae11629dccbba515,https://static.wixstatic.com/media/fdc35e_b0ec0ac8c1e64f78ae11629dccbba515~mv2.jpg,media/exhibitions/zat-2023/zat-2023-02.jpg
exhibitions,zat-2023,3,artwork,fdc35e_e7be8fd1192f4e79b15b06f21d6b01e9,https://static.wixstatic.com/media/fdc35e_e7be8fd1192f4e79b15b06f21d6b01e9~mv2.jpg,media/exhibitions/zat-2023/zat-2023-03.jpg
exhibitions,zat-2023,4,artwork,fdc35e_1c0059a793b04c8c823320a0ad1a5ba3,https://static.wixstatic.com/media/fdc35e_1c0059a793b04c8c823320a0ad1a5ba3~mv2.jpg,media/exhibitions/zat-2023/zat-2023-04.jpg
exhibitions,zat-2023,5,artwork,fdc35e_d8bb3a64b4864885916d7029f24c1a75,https://static.wixstatic.com/media/fdc35e_d8bb3a64b4864885916d7029f24c1a75~mv2.jpg,media/exhibitions/zat-2023/zat-2023-05.jpg
exhibitions,zat-2023,6,artwork,fdc35e_5615977476204e0389072087a50af626,https://static.wixstatic.com/media/fdc35e_5615977476204e0389072087a50af626~mv2.jpg,media/exhibitions/zat-2023/zat-2023-06.jpg
exhibitions,zat-2023,7,artwork,fdc35e_5902d40a6e154062872ac55a54c0efd8,https://static.wixstatic.com/media/fdc35e_5902d40a6e154062872ac55a54c0efd8~mv2.jpg,media/exhibitions/zat-2023/zat-2023-07.jpg
exhibitions,zat-2023,8,artwork,fdc35e_e7f3bd3facd84a48a19d6d6ba49901ad,https://static.wixstatic.com/media/fdc35e_e7f3bd3facd84a48a19d6d6ba49901ad~mv2.jpg,media/exhibitions/zat-2023/zat-2023-08.jpg
exhibitions,zat-2023,9,artwork,fdc35e_62b90b89feab420596529409db294206,https://static.wixstatic.com/media/fdc35e_62b90b89feab420596529409db294206~mv2.jpg,media/exhibitions/zat-2023/zat-2023-09.jpg
exhibitions,zat-2023,10,artwork,fdc35e_ba6b64c504aa43669ca3b9cbdf237f2b,https://static.wixstatic.com/media/fdc35e_ba6b64c504aa43669ca3b9cbdf237f2b~mv2.jpg,media/exhibitions/zat-2023/zat-2023-10.jpg
exhibitions,zat-2023,11,artwork,fdc35e_fcb3ef3ddff2437fb939c9580332f60a,https://static.wixstatic.com/media/fdc35e_fcb3ef3ddff2437fb939c9580332f60a~mv2.jpg,media/exhibitions/zat-2023/zat-2023-11.jpg
exhibitions,zat-2023,12,artwork,fdc35e_af2d698eda114a83acc5adb2dee196bd,https://static.wixstatic.com/media/fdc35e_af2d698eda114a83acc5adb2dee196bd~mv2.jpg,media/exhibitions/zat-2023/zat-2023-12.jpg
exhibitions,zat-2023,13,artwork,fdc35e_bf1af288049c4a3bbb9eb55e3bbcf85f,https://static.wixstatic.com/media/fdc35e_bf1af288049c4a3bbb9eb55e3bbcf85f~mv2.jpg,media/exhibitions/zat-2023/zat-2023-13.jpg
exhibitions,zat-2023,14,artwork,fdc35e_39d9945b7765406ca1e0b5c7a144115b,https://static.wixstatic.com/media/fdc35e_39d9945b7765406ca1e0b5c7a144115b~mv2.jpg,media/exhibitions/zat-2023/zat-2023-14.jpg
exhibitions,zat-2023,15,artwork,fdc35e_1c481876245f4b7ea85e5477dba94f4e,https://static.wixstatic.com/media/fdc35e_1c481876245f4b7ea85e5477dba94f4e~mv2.jpg,media/exhibitions/zat-2023/zat-2023-15.jpg
exhibitions,zat-2023,16,artwork,fdc35e_57cc244d65004b64a74a50f3d2f311e8,https://static.wixstatic.com/media/fdc35e_57cc244d65004b64a74a50f3d2f311e8~mv2.jpg,media/exhibitions/zat-2023/zat-2023-16.jpg
exhibitions,zat-2023,17,artwork,fdc35e_3d7bb1c0e7234f4bad4842a932021986,https://static.wixstatic.com/media/fdc35e_3d7bb1c0e7234f4bad4842a932021986~mv2.jpg,media/exhibitions/zat-2023/zat-2023-17.jpg
exhibitions,zat-2023,18,artwork,fdc35e_bb3fc3aca9724dc78d5a5aa89f0010a3,https://static.wixstatic.com/media/fdc35e_bb3fc3aca9724dc78d5a5aa89f0010a3~mv2.jpg,media/exhibitions/zat-2023/zat-2023-18.jpg
exhibitions,zat-2023,19,artwork,fdc35e_49f39e312d434354ab228d13f2a35644,https://static.wixstatic.com/media/fdc35e_49f39e312d434354ab228d13f2a35644~mv2.jpg,media/exhibitions/zat-2023/zat-2023-19.jpg
exhibitions,zat-2023,20,artwork,fdc35e_d1fb25885a8f45ae9e37f35ac1796195,https://static.wixstatic.com/media/fdc35e_d1fb25885a8f45ae9e37f35ac1796195~mv2.jpg,media/exhibitions/zat-2023/zat-2023-20.jpg
exhibitions,zat-2023,21,artwork,fdc35e_72a9f9e9b9564dc790bd82609567af55,https://static.wixstatic.com/media/fdc35e_72a9f9e9b9564dc790bd82609567af55~mv2.jpg,media/exhibitions/zat-2023/zat-2023-21.jpg
exhibitions,zat-2023,22,artwork,fdc35e_5bb79ed26f8b48c5953bf373982c496d,https://static.wixstatic.com/media/fdc35e_5bb79ed26f8b48c5953bf373982c496d~mv2.jpg,media/exhibitions/zat-2023/zat-2023-22.jpg
exhibitions,zat-2023,23,artwork,fdc35e_b6d2f3673a584aa1824a8ce7b9720261,https://static.wixstatic.com/media/fdc35e_b6d2f3673a584aa1824a8ce7b9720261~mv2.jpg,media/exhibitions/zat-2023/zat-2023-23.jpg
exhibitions,the-third-eye-2021,1,artwork,fdc35e_88a84b221f224618b2bcf8ceacf1894a,https://static.wixstatic.com/media/fdc35e_88a84b221f224618b2bcf8ceacf1894a~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-01.jpg
exhibitions,the-third-eye-2021,2,artwork,fdc35e_059356d53dc047c886f51f485bf7a125,https://static.wixstatic.com/media/fdc35e_059356d53dc047c886f51f485bf7a125~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-02.jpg
exhibitions,the-third-eye-2021,3,artwork,fdc35e_c7d72f4470b34052834e5a5fdd6ffd4a,https://static.wixstatic.com/media/fdc35e_c7d72f4470b34052834e5a5fdd6ffd4a~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-03.jpg
exhibitions,the-third-eye-2021,4,artwork,fdc35e_393d95fb54d540d7a98d10e1cd6fd9b3,https://static.wixstatic.com/media/fdc35e_393d95fb54d540d7a98d10e1cd6fd9b3~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-04.jpg
exhibitions,the-third-eye-2021,5,artwork,fdc35e_5576f23b038b495f9a1a3505fbf2053d,https://static.wixstatic.com/media/fdc35e_5576f23b038b495f9a1a3505fbf2053d~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-05.jpg
exhibitions,the-third-eye-2021,6,artwork,fdc35e_d45153bac6ba4695a32995a61a6a3860,https://static.wixstatic.com/media/fdc35e_d45153bac6ba4695a32995a61a6a3860~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-06.jpg
exhibitions,the-third-eye-2021,7,artwork,fdc35e_77ffae8a944d41bd88ab19441a3e1b1a,https://static.wixstatic.com/media/fdc35e_77ffae8a944d41bd88ab19441a3e1b1a~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-07.jpg
exhibitions,the-third-eye-2021,8,artwork,fdc35e_83e88eab70ad4afe8ade999c7f84f1df,https://static.wixstatic.com/media/fdc35e_83e88eab70ad4afe8ade999c7f84f1df~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-08.jpg
exhibitions,the-third-eye-2021,9,artwork,fdc35e_075b523c6bca4aefbe188212d23519aa,https://static.wixstatic.com/media/fdc35e_075b523c6bca4aefbe188212d23519aa~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-09.jpg
exhibitions,the-third-eye-2021,10,artwork,fdc35e_f9b390c8461246919aa32b21322a5fa8,https://static.wixstatic.com/media/fdc35e_f9b390c8461246919aa32b21322a5fa8~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-10.jpg
exhibitions,the-third-eye-2021,11,artwork,fdc35e_7c4f0211faa44ee4bf86e5330bed9e5d,https://static.wixstatic.com/media/fdc35e_7c4f0211faa44ee4bf86e5330bed9e5d~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-11.jpg
exhibitions,the-third-eye-2021,12,artwork,fdc35e_19c69748cc0b44e380e43adec74a1702,https://static.wixstatic.com/media/fdc35e_19c69748cc0b44e380e43adec74a1702~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-12.jpg
exhibitions,the-third-eye-2021,13,artwork,fdc35e_fcdee3b439e3485084c9f46d3a2c9948,https://static.wixstatic.com/media/fdc35e_fcdee3b439e3485084c9f46d3a2c9948~mv2.jpg,media/exhibitions/the-third-eye-2021/the-third-eye-2021-13.jpg
exhibitions,sakan-2019,1,artwork,fdc35e_34fe06c5e77241f9b19b3c6f608db17f,https://static.wixstatic.com/media/fdc35e_34fe06c5e77241f9b19b3c6f608db17f~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-01.jpg
exhibitions,sakan-2019,2,artwork,fdc35e_80a32111c37e4ace9e17fd1ca9a26c9f,https://static.wixstatic.com/media/fdc35e_80a32111c37e4ace9e17fd1ca9a26c9f~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-02.jpg
exhibitions,sakan-2019,3,artwork,fdc35e_269e2e30a1a041e496de2f7fb635c2a4,https://static.wixstatic.com/media/fdc35e_269e2e30a1a041e496de2f7fb635c2a4~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-03.jpg
exhibitions,sakan-2019,4,artwork,fdc35e_49935591b0014b6cb0d24c1d163406e2,https://static.wixstatic.com/media/fdc35e_49935591b0014b6cb0d24c1d163406e2~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-04.jpg
exhibitions,sakan-2019,5,artwork,fdc35e_1db2350a80d54449b12bb9e28567ce9e,https://static.wixstatic.com/media/fdc35e_1db2350a80d54449b12bb9e28567ce9e~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-05.jpg
exhibitions,sakan-2019,6,artwork,fdc35e_277550afdefa43efac08f7e1961e4be5,https://static.wixstatic.com/media/fdc35e_277550afdefa43efac08f7e1961e4be5~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-06.jpg
exhibitions,sakan-2019,7,artwork,fdc35e_b7be57ded06a4184bac33953de23ab3a,https://static.wixstatic.com/media/fdc35e_b7be57ded06a4184bac33953de23ab3a~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-07.jpg
exhibitions,sakan-2019,8,artwork,fdc35e_7fb40871a78f4cc89c01db55395749f5,https://static.wixstatic.com/media/fdc35e_7fb40871a78f4cc89c01db55395749f5~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-08.jpg
exhibitions,sakan-2019,9,artwork,fdc35e_c5d129cb7fba4350a3913162cc5d9f55,https://static.wixstatic.com/media/fdc35e_c5d129cb7fba4350a3913162cc5d9f55~mv2.jpg,media/exhibitions/sakan-2019/sakan-2019-09.jpg
